"id","category_id","code","name","partner_id","struct_id","sequence","condition_select","amount_fix","fondo_ahorro_aux","forma_pago","integrar_al_ingreso","integrar_estatal","integrar_ptu","condition_range_max","condition_range_min","variable_imss_monto","tipo_cotro_pago/id","parte_exenta/id","parte_gravada/id","amount_percentage","amount_percentage_base","exencion","variable_imss","amount_python_compute","condition_python","variable_imss_tipo","tipo_cdeduccion/id","tipo_cpercepcion/id","amount_select"
"__export__.hr_salary_rule_315_22fc6cd6","Percepciones","P001","Sueldo base",,"Sueldos ordinaria","100","Expresión Python","0.0",,"Efectivo",,,,"0.0","0.0","0.0",,,,"0.0",,,,"dias_laborados = 0

if worked_days.WORK100:
   dias_laborados = worked_days.WORK100.number_of_days
if worked_days.FJC:
   dias_laborados = dias_laborados + worked_days.FJC.number_of_days

result = round(contract.sueldo_diario*dias_laborados, 2)

if inputs.P001:
   result = inputs.P001.amount","if worked_days.WORK100:
   result = 1>0
else:
   result = 0>1",,,"catalogo.percepciones01","Código Python"
"__export__.hr_salary_rule_584_752747b4","Percepciones","P001","Sueldo base",,"Asimilado","100","Expresión Python","0.0",,"Efectivo",,,,"0.0","0.0","0.0",,,,"0.0",,,,"dias_laborados = 0

if worked_days.WORK100:
   dias_laborados = worked_days.WORK100.number_of_days
if worked_days.FJC:
   dias_laborados = dias_laborados + worked_days.FJC.number_of_days

result = round(contract.sueldo_diario*dias_laborados, 2)

if inputs.P001:
   result = inputs.P001.amount","if worked_days.WORK100:
   result = 1>0
else:
   result = 0>1",,,"catalogo.percepciones37","Código Python"
"__export__.hr_salary_rule_9","Percepciones","P005","Septimo dia",,"Sueldos ordinaria","102","Expresión Python","10.0",,"Efectivo",,,,"0.0","0.0","0.0",,,,"0.0",,,,"dias_laborados = 0

if worked_days.SEPT:
   result = round(worked_days.SEPT.number_of_days * contract.sueldo_diario, 2)
else:
  result = 0","if worked_days.SEPT:
   result = 1
else:
   result = 0","Todo el monto",,"catalogo.percepciones01","Código Python"
"__export__.hr_salary_rule_139_6b02665e","Percepciones","P003","Septimo dia liquidación",,"Sueldos ordinaria","103","Expresión Python","10.0",,"Efectivo",,,,"0.0","0.0","0.0",,,,"0.0",,,,"dias_laborados = 0

if contract.dias_pendientes_pagar > 0 :
  dias_laborados = contract.dias_pendientes_pagar
  result = round(1/6 *contract.sueldo_diario*dias_laborados, 2)
else:
  result = 0","if contract.periodicidad_pago ==""02"":
   result = 1> 0
else:
   result = 0> 1","Todo el monto",,"catalogo.percepciones01","Código Python"
"__export__.hr_salary_rule_372_05b6bc3c","Percepciones","P002","Días adicionales",,"Sueldos ordinaria","105","Expresión Python","0.0",,"Efectivo",,,,"0.0","0.0","0.0",,,,"0.0",,,,"result = inputs.P002.amount","if inputs.P002:
   result = 1
else:
   result = 0",,,"catalogo.percepciones01","Código Python"
"__export__.hr_salary_rule_300_10e13f2f","Percepcion exenta","PE003","Horas extras doble exento",,"Sueldos ordinaria","110","Expresión Python","0.0",,"Efectivo",,,,"0.0","0.0","0.0",,,,"0.0",,,,"monto_exento = 0
horas_exentas = 0
monto_total = 0

if contract.periodicidad_pago == '02':
   tope_uma = 5
if contract.periodicidad_pago == '04':
   tope_uma = 10

monto_total = worked_days.HEX2.number_of_hours *  contract.sueldo_diario/8 * 2

#revisar si el trabajador gana mas de un salario mínimo
if contract.sueldo_diario >= contract.tablas_cfdi_id.salario_minimo:
   monto_exento =  monto_total * 0.5
else:
   monto_exento =  monto_total

# revisar que lo exento no supere 5 SM por semana (quincenal 10, semanal 5)
if monto_exento > (tope_uma *contract.tablas_cfdi_id.uma):
   monto_exento =  tope_uma * contract.tablas_cfdi_id.uma

result = round(monto_exento,2)
","if worked_days.HEX2:
   result = 1
else:
   result = 0","Todo el monto",,,"Código Python"
"__export__.hr_salary_rule_298_a1ef148b","Percepcion gravada","PG003","Horas extras doble gravado",,"Sueldos ordinaria","111","Expresión Python","0.0",,"Efectivo",,,,"0.0","0.0","0.0",,,,"0.0",,,,"monto_exento = 0
horas_exentas = 0
monto_total = 0

if contract.periodicidad_pago == '02':
   tope_uma = 5
if contract.periodicidad_pago == '04':
   tope_uma = 10

monto_total = worked_days.HEX2.number_of_hours *  contract.sueldo_diario/8 * 2

#revisar si el trabajador gana mas de un salario mínimo
if contract.sueldo_diario > contract.tablas_cfdi_id.salario_minimo:
   monto_exento =  monto_total * 0.5
else:
   monto_exento =  monto_total

# revisar que lo exento no supere 5 SM por semana (quincenal 10, semanal 5)
if monto_exento > (tope_uma *contract.tablas_cfdi_id.uma):
   monto_exento =  tope_uma * contract.tablas_cfdi_id.uma

result = round(monto_total - monto_exento, 2)","if worked_days.HEX2:
   result = 1
else:
   result = 0","Todo el monto",,,"Código Python"
"__export__.hr_salary_rule_131_246ebffd","Percepciones","HEX2","Horas extras dobles",,"Sueldos ordinaria","112","Expresión Python","0.0",,"Efectivo",,,,"0.0","0.0","0.0",,"__export__.hr_salary_rule_300_10e13f2f","__export__.hr_salary_rule_298_a1ef148b","0.0",,"True",,"result =  PE003 + PG003","if worked_days.HEX2:
   result = 1>0
else:
   result = 0>1","Todo el monto",,"catalogo.percepciones14","Código Python"
"__export__.hr_salary_rule_182_8ebcd470","Percepcion exenta","PE004","Aguinaldo liquidacion exenta",,"Sueldos ordinaria","115","Expresión Python","0.0",,"Efectivo",,,,"0.0","0.0","0.0",,,,"0.0",,,,"aguinaldo = 0
antiguedad_anos = contract.antiguedad_anos
dias_aguinaldo = 0
dias_proporcionales = 0

if contract.antiguedad_anos < 1:
   antiguedad_anos = 1
else:
   antiguedad_anos = contract.antiguedad_anos

if contract.tablas_cfdi_id:
    line = contract.env['tablas.antiguedades.line'].search([('form_id','=',contract.tablas_cfdi_id.id),('antiguedad','<=',antiguedad_anos)],order='antiguedad desc',limit=1)
    if line:
       dias_aguinaldo = line.aguinaldo

if worked_days.AGUI:
   total = contract.sueldo_diario * worked_days.AGUI.number_of_days
else:
   total = 0

monto_exento =  contract.tablas_cfdi_id.uma * 30

if total > monto_exento:
   result = round(monto_exento, 2)
else:
   result = round(total, 2)","if worked_days.AGUI:
   result = 1
else:
   result = 0","Todo el monto",,,"Código Python"
"__export__.hr_salary_rule_219_73008d2c","Percepcion exenta","PE004","Aguinaldo exenta",,"Aguinaldo","115","Siempre verdadero","0.0",,"Efectivo",,,,"0.0","0.0","0.0",,,,"0.0",,,,"aguinaldo = 0
antiguedad_anos = contract.antiguedad_anos
dias_aguinaldo = 0
dias_proporcionales = 0
dias_trabajo = 0

if contract.antiguedad_anos < 1:
   antiguedad_anos = 1
else:
   antiguedad_anos = contract.antiguedad_anos

if contract.tablas_cfdi_id:
    line = contract.env['tablas.antiguedades.line'].search([('form_id','=',contract.tablas_cfdi_id.id),('antiguedad','<=',antiguedad_anos)],order='antiguedad desc',limit=1)
    if line:
       dias_aguinaldo = line.aguinaldo

if worked_days.WORK100:
   dias_trabajo = dias_trabajo + worked_days.WORK100.number_of_days
if worked_days.SEPT:
   dias_trabajo = dias_trabajo + worked_days.SEPT.number_of_days
if worked_days.FJC:
   dias_trabajo = dias_trabajo + worked_days.FJC.number_of_days
if worked_days.VAC:
   dias_trabajo = dias_trabajo + worked_days.VAC.number_of_days
if worked_days.INC_MAT:
   dias_trabajo = dias_trabajo + worked_days.INC_MAT.number_of_days
#if worked_days.INC_EG:
#   dias_trabajo = dias_trabajo + worked_days.INC_EG.number_of_days
if worked_days.INC_RT:
   dias_trabajo = dias_trabajo + worked_days.INC_RT.number_of_days

if dias_trabajo > 0:
   dias_proporcionales = (dias_aguinaldo*dias_trabajo)/365
   total = dias_proporcionales * contract.sueldo_diario

monto_exento =  contract.tablas_cfdi_id.uma * 30

if total > monto_exento:
   result = round(monto_exento,2)
else:
   result = round(total,2)","
                    # Available variables:
                    #----------------------
                    # payslip: object containing the payslips
                    # employee: hr.employee object
                    # contract: hr.contract object
                    # rules: object containing the rules code (previously computed)
                    # categories: object containing the computed salary rule categories (sum of amount of all rules belonging to that category).
                    # worked_days: object containing the computed worked days
                    # inputs: object containing the computed inputs

                    # Note: returned value have to be set in the variable 'result'

                    result = rules.NET > categories.NET * 0.10","Todo el monto",,,"Código Python"
