"id","apotacion_infonavit","cesantia_vejez_e","cesantia_vejez_p","rt_clase1","rt_clase2","rt_clase3","rt_clase4","rt_clase5","enf_mat_cuota_fija","dias_min_trabajados","enf_mat_excedente_e","enf_mat_excedente_p","fecha_fin","fecha_inicio","enf_mat_gastos_med_e","enf_mat_gastos_med_p","sbcm_general","guarderia_p","importe_utilidades","inv_vida_e","inv_vida_p","name","sbcm_inv_inf","imss_mes","enf_mat_prestaciones_e","enf_mat_prestaciones_p","retiro_p","salario_minimo","umi","uma","total_sueldo_percibido","total_dias_trabajados","tabla_subem/lim_inf","tabla_subem/s_mensual","tabla_mensual/mes","tabla_mensual/no_dias","tabla_mensual/dia_inicio","tabla_mensual/dia_fin","tabla_LISR/lim_inf","tabla_LISR/s_excedente","tabla_LISR/c_fija","tabla_ISR_periodo/c_fija","tabla_ISR_periodo/lim_inf","tabla_ISR_periodo/s_excedente","tabla_ISR_anual/c_fija","tabla_ISR_anual/lim_inf","tabla_ISR_anual/s_excedente","tabla_bimestral/no_dias","tabla_bimestral/dia_inicio","tabla_bimestral/dia_fin","tabla_antiguedades/aguinaldo","tabla_antiguedades/antiguedad","tabla_antiguedades/prima_vac","tabla_antiguedades/vacaciones"
"__export__.tablas_cfdi_6_791ec8e3","5.0","1.125","3.15","0.55456","1.130658","2.59844","4.65325","7.58875","20.4","0.0","0.4","1.1","","","0.375","1.05","25.0","1.0","0.0","0.625","1.75","TABLAS 2023 (quincenal)","25.0","30.4","0.25","0.7","2.0","207.44","84.55","103.74","0.0","0.0","0.01","407.02","Enero / Periodo 1","31.0","2023-01-01","2023-01-31","0.01","1.92","0.0","0.0","0.01","1.92","0.0","0.01","1.92","59.0","2023-01-01","2023-02-28","15.0","1.0","25.0","12.0"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1768.97","406.83","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2653.39","406.62","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3472.85","392.77","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3537.88","382.46","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4446.16","354.23","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4717.19","324.87","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5335.43","294.63","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6224.68","253.54","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7113.91","217.61","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7382.34","0.0","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Febrero / Periodo 2","28.0","2023-02-01","2023-02-28","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Marzo / Periodo 3","31.0","2023-03-01","2023-03-31","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Abril / Periodo 4","30.0","2023-04-01","2023-04-30","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Mayo / Periodo 5","31.0","2023-05-01","2023-05-31","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Junio / Periodo 6","30.0","2023-06-01","2023-06-30","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Julio / Periodo 7","31.0","2023-07-01","2023-07-31","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Agosto / Periodo 8","31.0","2023-08-01","2023-08-31","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Septiembre / Periodo 9","30.0","2023-09-01","2023-09-30","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Octubre / Periodo 10","31.0","2023-10-01","2023-10-31","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Noviembre / Periodo 11","30.0","2023-11-01","2023-11-30","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Diciembre / Periodo 12","31.0","2023-12-01","2023-12-31","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","746.05","6.4","14.32","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6332.06","10.88","371.83","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11128.02","16.0","893.63","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12935.83","17.92","1182.88","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15487.72","21.36","1640.18","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31236.5","23.52","5004.12","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","49233.01","30.0","9236.89","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","93993.91","32.0","22665.17","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","125325.21","34.0","32691.18","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","375975.62","35.0","117912.32","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.05","368.11","6.4","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","183.45","3124.36","10.88","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","441.0","5490.76","16.0","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","583.65","6382.81","17.92","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","809.25","7641.91","21.36","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2469.15","15412.81","23.52","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4557.75","24292.66","30.0","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11183.4","46378.51","32.0","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16130.55","61838.11","34.0","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","58180.35","185514.31","35.0","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","171.88","8952.5","6.4","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4461.94","75984.56","10.88","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10723.55","133536.08","16.0","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14194.54","155229.81","17.92","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19682.13","185852.58","21.36","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","60049.4","374837.89","23.52","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","110842.74","590796.0","30.0","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","271981.99","1127926.85","32.0","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","392294.17","1503902.47","34.0","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1414947.85","4511707.38","35.0","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","61.0","2023-03-01","2023-04-30","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","61.0","2023-05-01","2023-06-30","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","62.0","2023-07-01","2023-08-31","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","61.0","2023-09-01","2023-10-31","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","61.0","2023-11-01","2023-12-31","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.0","2.0","25.0","14.0"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.0","3.0","25.0","16.0"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.0","4.0","25.0","18.0"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.0","5.0","25.0","20.0"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.0","10.0","25.0","22.0"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.0","15.0","25.0","24.0"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.0","20.0","25.0","26.0"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.0","25.0","25.0","28.0"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.0","30.0","25.0","30.0"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.0","36.0","25.0","32.0"
"__export__.tablas_cfdi_7_822b9c6d","5.0","1.125","3.15","0.55456","1.130658","2.59844","4.65325","7.58875","20.4","0.0","0.4","1.1","","","0.375","1.05","25.0","1.0","0.0","0.625","1.75","TABLAS 2023 (semanal)","25.0","30.4","0.25","0.7","2.0","207.44","84.55","103.74","0.0","0.0","0.01","407.02","Enero / Periodo 1","31.0","2023-01-01","2023-01-31","0.01","1.92","0.0","0.0","0.01","1.92","0.0","0.01","1.92","59.0","2023-01-01","2023-02-28","15.0","1.0","25.0","12.0"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1768.97","406.83","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2653.39","406.62","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3472.85","392.77","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3537.88","382.46","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4446.16","354.23","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4717.19","324.87","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5335.43","294.63","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6224.68","253.54","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7113.91","217.61","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7382.34","0.0","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Febrero / Periodo 2","28.0","2023-02-01","2023-02-28","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Marzo / Periodo 3","31.0","2023-03-01","2023-03-31","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Abril / Periodo 4","30.0","2023-04-01","2023-04-30","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Mayo / Periodo 5","31.0","2023-05-01","2023-05-31","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Junio / Periodo 6","30.0","2023-06-01","2023-06-30","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Julio / Periodo 7","31.0","2023-07-01","2023-07-31","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Agosto / Periodo 8","31.0","2023-08-01","2023-08-31","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Septiembre / Periodo 9","30.0","2023-09-01","2023-09-30","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Octubre / Periodo 10","31.0","2023-10-01","2023-10-31","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Noviembre / Periodo 11","30.0","2023-11-01","2023-11-30","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Diciembre / Periodo 12","31.0","2023-12-01","2023-12-31","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","746.05","6.4","14.32","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6332.06","10.88","371.83","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11128.02","16.0","893.63","","","","","","","","","","","","",""
